game_ID,game_date,team_ID,opp_team_ID,opp_elo_rating,team_elo_rating,goals,possessions,shots,sog,efficiency,save_pct,shooting_pct,sog_rate,faceoff_wins,faceoff_losses,faceoff_win_rate,forced_turnovers,unforced_turnovers,turnover_rate,gbs_won,gbs_lost,gb_win_rate,time_of_possession,avg_possession_length,time_to_first_shot,shots_per_possession,number_of_contributors,weird_time_as_pct,turnovers,possession_margin,possessions_plus_failed_clears,failed_clears,assists,assist_rate,win,penalties,man_up_goals,man_up_chances,man_down_goals,shots_saved,sog_faced,on_keeper_shots,on_keeper_shots_faced,clear_rate,ride_rate,emo_efficiency,faceoff_conversions,faceoff_conversion_rate
63253,"2025-02-19 15:00:00",385,227,1337.32,1493.74,21,62,62,41,0.33871,0.714286,0.33871,0.66129,20,9,0.689655,20,10,0.387097,51,28,0.64557,0.590768,33.6452,23.4,1,37,0.00730953,24,25,68,6,15,0.714286,1,NULL,4,5,0,15,14,36,14,0.911765,0.288462,0.8,0,0
63253,"2025-02-19 15:00:00",227,385,1493.74,1337.32,4,37,22,14,0.108108,0.416667,0.181818,0.636364,9,20,0.310345,25,13,0.621622,28,51,0.35443,0.409232,39.0541,21.625,0.594595,20,0.00730953,23,-25,52,15,2,0.5,0,NULL,0,5,0,10,41,14,36,0.711538,0.0882353,0,0,0
63255,"2025-02-25 16:00:00",227,364,1574.23,1309.13,9,40,33,23,0.225,0.407407,0.272727,0.69697,13,15,0.464286,9,17,0.45,18,19,0.486486,0.433623,38.625,32.3333,0.825,18,0.00890125,18,-7,48,8,5,0.555556,0,NULL,3,5,0,12,27,21,27,0.833333,0.0961538,0.6,13,1
63255,"2025-02-25 16:00:00",364,227,1309.13,1574.23,16,47,42,27,0.340426,0.571429,0.380952,0.642857,15,13,0.535714,9,17,0.446809,19,18,0.513514,0.566377,42.9362,41.5,0.893617,20,0.00890125,21,7,52,5,8,0.5,1,NULL,2,3,0,11,23,27,21,0.903846,0.166667,0.666667,15,1
63256,"2025-03-02 12:00:00",227,300,1320.35,1259.81,11,47,29,22,0.234043,0.52,0.37931,0.758621,21,5,0.807692,9,18,0.404255,17,25,0.404762,0.505642,40.0426,36.625,0.617021,19,0.0236097,19,6,55,8,10,0.909091,0,NULL,1,2,0,11,25,22,25,0.854545,0.12766,0.5,21,1
63256,"2025-03-02 12:00:00",300,227,1259.81,1320.35,12,41,41,25,0.292683,0.5,0.292683,0.609756,5,21,0.192308,8,17,0.439024,25,17,0.595238,0.494358,44.878,38.75,1,20,0.0236097,18,-6,47,6,8,0.666667,1,NULL,2,4,0,13,22,25,22,0.87234,0.145455,0.5,5,1
63257,"2025-03-04 16:00:00",227,219,1701.51,1245.98,5,43,22,15,0.116279,0.419355,0.227273,0.681818,11,15,0.423077,14,14,0.44186,19,24,0.44186,0.368718,30.3721,25.2,0.511628,21,0.0128205,19,-12,52,9,3,0.6,0,NULL,0,2,0,10,33,15,31,0.826923,0.0677966,0,10,0.909091
63257,"2025-03-04 16:00:00",219,227,1245.98,1701.51,18,55,48,33,0.327273,0.666667,0.375,0.6875,15,11,0.576923,13,11,0.363636,24,19,0.55814,0.631282,40.6545,31.4483,0.872727,35,0.0128205,20,12,59,4,12,0.666667,1,NULL,0,4,0,13,15,31,15,0.932203,0.173077,0,15,1
63259,"2025-03-19 16:00:00",227,271,1634.45,1180.6,2,34,41,25,0.0588235,0.48,0.0487805,0.609756,4,12,0.25,6,13,0.382353,25,18,0.581395,0.489802,50.1471,31.5909,1.20588,23,0.00343544,13,-11,40,6,1,0.5,0,NULL,0,9,0,20,27,22,25,0.85,0.1,0,4,1
63259,"2025-03-19 16:00:00",271,227,1180.6,1634.45,13,45,40,27,0.288889,0.909091,0.325,0.675,12,4,0.75,10,13,0.422222,18,25,0.418605,0.510198,39.4667,36.6667,0.888889,27,0.00343544,19,11,50,5,12,0.923077,1,NULL,1,3,0,12,25,25,22,0.9,0.15,0.333333,12,1
